Taxa	trait1	trait2	trait3	trait4	trait5	trait6
12_3	0.023152246	-0.434948246	3.954033548	-1696.189646	-3.923359904	286.1605493
12_4	0.027872976	3.054794614	-2.312975741	1153.811411	-9.285444794	48.83075864
12_5	0.004718157	0.627713707	5.061806702	724.7222188	-2.162218398	-80.75509112
12_6	0.006579513	2.149992114	-1.594146609	400.8294009	-8.535647268	-193.1382214
12_7	0.008581018	1.506804785	0.74389144	-1803.092776	-0.626760102	118.1652558
12_8	0.021725151	-5.172377674	9.169360315	41.24125268	4.441548863	-22.70357891
12_9	0.020909896	1.785308357	3.919770271	3576.530013	11.72213735	174.3953665
12_10	0.020677226	4.06112839	-0.941497179	-851.1021034	-2.134364797	83.86292107
12_11	0.011845606	0.178122289	0.835244617	-1870.555322	10.34863838	21.19502253
12_12	0.006135579	-1.181200609	-0.965993763	1513.344835	5.335150181	6.545220744
12_13	0.015571775	-4.887437419	-2.509333452	-1035.562354	-4.693897058	151.0386344
12_14	0.036668282	-1.793151004	-0.15384614	-1311.38738	-6.973257212	-127.082388
12_16	-0.014709651	0.655418897	-2.052303312	1552.784257	-4.380662956	-57.03935013
12_17	-0.009505782	-1.579037432	0.016428008	-437.3525305	-9.115848057	-189.409222
12_18	-0.013224183	-0.510541654	-1.299114023	-1853.173027	28.45726892	-158.9172229
12_20	-0.009667555	2.21099962	1.041765623	-1729.148693	-6.817010698	-116.914582
12_21	0.004587927	-2.292737748	1.555168396	-1410.179183	-8.807260247	142.4757817
12_22	0.038136294	-3.346510411	-2.398817669	430.1686749	-2.669434658	-166.4477683
12_23	0.009668295	-0.654750997	1.350006843	109.4730163	8.299948192	-66.61003432
12_24	0.007734869	-2.87476987	3.195460254	65.7286088	1.35704282	159.5392901
12_25	0.001691557	-3.157190423	8.09639511	1614.259334	-3.327383774	-194.5073211
12_26	0.018658861	-0.295737395	-4.258133796	-562.3792642	9.236774736	83.48240449
12_27	0.003473041	0.869454833	1.596117231	-398.6553914	2.543562494	-0.540320292
12_28	0.012376027	-6.996110729	7.391010321	-40.9072181	-8.553055489	167.6806078
12_29	0.028048382	-0.018080447	-0.755285689	1878.139153	-7.21036105	161.5243766
12_33	0.03127995	-1.146402997	-0.734387766	-1337.326007	-4.10043633	70.07986437
23_1	0.018873051	0.404760315	-5.481606387	-1651.320852	-12.74094947	-70.86841322
23_2	0.006889244	-10.20367013	-5.162504737	-1122.244937	-1.943280909	-214.8839536
23_3	0.017298378	-2.812607866	-1.991293336	-735.0861583	-3.160611622	-125.657424
23_10	0.051122847	-2.429602903	-5.060562139	-1524.747142	-11.10531267	-169.0962133
23_11	0.023436277	-4.444443113	-4.211451121	-655.0523285	-13.11345692	-80.48481484
23_12	0.031135646	1.030473857	-5.971340635	-1090.150047	1.25949947	-189.6183028
23_13	0.007959127	-0.614689025	-3.424286644	-1159.653591	-11.16244642	-171.6446753
23_14	0.034659335	-9.571689758	-5.347425218	-1711.239853	-11.09112241	-219.9131399
23_15	0.019133769	-4.723053453	-5.123777882	-908.6248585	-3.472793365	-191.9362314
23_16	0.000561057	0.902607902	-3.967957107	-999.1669759	-8.432745635	-153.9149963
23_17	0.027080906	-2.549798558	-5.588927098	-1407.872199	-9.459664399	-234.8253976
23_18	0.02403691	1.687230529	-4.703375333	-1041.034749	-1.846519077	-146.8939903
23_19	0.005046802	-4.730505907	-2.101498977	-1712.198945	-9.620142784	-197.8631981
23_20	-0.002447396	-1.540358854	-5.046679517	-779.5095678	-12.66711444	-156.2661395
23_21	0.021825157	-3.735260961	-5.782431935	-1004.865095	-5.953073917	-187.4158164
23_23	0.021825157	3.297497451	-3.739696708	-1053.988609	-10.5578936	-165.8916666
8_1	-0.035493127	-7.544501124	-3.415716745	-1909.891427	-11.77496539	24.33240808
8_2	-0.00759476	-0.415917272	-0.868389691	742.2414498	9.112615685	-90.10931055
8_3	0.000490798	2.695636369	0.361971367	766.5447616	7.097453679	14.61225932
8_4	-0.007269309	-5.475213699	-1.876578098	855.1534017	24.95176384	-3.535463425
8_5	-0.03840845	-1.113041414	-0.34806432	-1811.32563	-11.45126428	147.2344538
8_6	-0.005385929	-0.31300462	-2.155907828	5155.135581	8.105430576	-78.75499639
8_7	-0.001829612	-0.275707417	-0.994490835	-1705.26324	7.583014479	68.54463559
8_8	-0.012131548	-1.642580816	-2.912754965	914.7888281	2.922106933	60.38675361
8_9	-0.027063326	-1.387025909	-1.208816096	-334.9778152	11.14953486	48.16129782
8_10	-0.010305314	0.203666894	-3.342510803	777.3714217	23.43193738	-26.67868019
8_11	-0.03883647	-1.510143918	0.130674174	1077.123484	-5.183897252	139.4088624
8_12	-0.045770184	0.116002452	-1.269992642	-1076.319603	16.87800564	-24.30013089
8_13	-0.006671518	0.1911983	-2.988695989	1322.472268	3.396247639	102.8277428
8_14	-0.003685398	2.548519625	3.852492312	-1375.56277	20.63617899	47.99562805
8_15	-0.006115046	2.607182062	-0.602987017	790.1666921	5.063127644	106.7559326
8_16	-0.008959342	0.277397916	-3.252638086	-124.1592757	12.08675602	20.23178478
8_17	-0.019010221	-0.939459481	-2.270988078	835.5059582	12.77234959	85.91561078
8_18	-0.036275943	-0.29851683	7.672729221	2940.853355	-4.414400581	-19.32039919
8_19	-0.040039514	2.392375149	0.413168095	-541.4989528	19.70990496	176.972333
8_20	-0.026236155	-0.638724533	-3.147541733	804.0561757	8.908976873	59.70061386
8_21	-0.016557963	-3.02540348	-1.31271766	265.6049146	22.01609339	94.03524395
8_22	0.023559544	-0.120993095	-4.104618082	141.6935753	0.518248994	-11.20322855
8_23	0.044237281	3.556925469	2.200915903	2250.77004	12.81440265	30.51952964
8_24	0.005487935	0.104171496	-0.762686332	1422.800659	5.860490781	-60.85909143
8_25	-0.022020082	-3.759230333	-1.838778892	704.2419492	24.32057864	153.7108985
8_26	0.00687736	-0.250842614	-0.457587634	-1569.053998	-2.059084557	72.45408854
8_27	-0.00310812	-4.23703057	9.109438962	3863.079263	16.3253841	88.03922748
8_28	0.00245689	-1.534833342	-3.695643844	754.6516912	9.526415382	104.9813884
8_29	-0.003031382	-1.369067999	-1.928386475	901.5397669	20.2224064	44.5851309
8_30	0.006015345	-1.842223794	-2.982668081	-549.0394052	-3.736141597	178.5956459
8_31	-0.002222009	0.551047235	6.879126229	1791.654622	18.26347544	53.07681488
8_32	-0.022635093	-2.990569928	-3.546220837	-900.0011945	22.79258643	104.9130008
8_33	0.039380126	0.260561696	-1.483303663	-1220.575044	19.69940108	-86.47029384
8_34	0.027182811	-0.214926793	-2.161526503	846.7726899	2.225942803	119.4012479
8_35	-0.013180803	-1.174000132	2.990841959	-153.8594348	14.41680861	126.1143749
